,Clothes,ape_id,diff,listing_price,mean,rarity
0,Red Hawaiian Shirt,ApeGang #7496,-0.04875129764577768,0.49,0.868546410117647,2.83
1,Red NBA Jersey,ApeGang #3023,0.09800631312063335,0.85,1.015304020884058,2.48
2,Black Tank Top,ApeGang #5513,-0.1122993019723797,0.769,0.804998405791045,2.27
3,Military,ApeGang #8112,-0.12846809665231373,0.449,0.7888296111111109,2.27
4,Yellow NBA Jersey,ApeGang #4428,0.39498582440075414,0.7,1.3122835321641788,2.41
5,Grey Striped T-Shirt,ApeGang #1234,-0.18078743844861,0.7,0.7365102693148147,2.6
6,Batman,ApeGang #5125,0.2865659286002117,0.8069,1.2038636363636364,1.23
7,Hippie,ApeGang #3044,-0.07476986901342442,0.5,0.8425278387500003,2.4699999999999998
8,Magician,ApeGang #9533,-0.06709857761190963,0.449,0.850199130151515,2.77
9,Pimp Coat,ApeGang #2100,-0.08028623235358845,0.8,0.8370114754098362,2.53
10,Orange Hawaiian Shirt ,ApeGang #6005,-0.12849030035601727,0.54,0.7888074074074074,2.4699999999999998
11,White Tank Top,ApeGang #1781,-0.05650899808600529,0.46,0.8607887096774194,2.2399999999999998
12,Hotel Porter,ApeGang #7964,-0.09724262579621168,0.47,0.820055081967213,2.2800000000000002
13,Toga,ApeGang #743,-0.1548977077634247,0.5,0.7624,2.6
14,Pirate,ApeGang #5622,-0.12426679867251578,0.55,0.7930309090909089,2.33
15,Indian,ApeGang #604,-0.07923523902873086,0.6,0.8380624687346938,2.31
16,Purple Hoodie,ApeGang #2492,0.05016451445879755,0.65,0.9674622222222222,2.32
17,Mexican,ApeGang #5374,-0.21587968707823968,0.65,0.701418020685185,2.4299999999999997
18,Black Suit,ApeGang #8409,-0.08245907139978847,0.699,0.8348386363636362,2.31
19,Winter Coat,ApeGang #947,-0.12930134412706118,0.45,0.7879963636363635,2.5100000000000002
20,Joker,ApeGang #8801,0.04569702907868045,1.0,0.9629947368421051,1.2
21,Banana Shirt,ApeGang #1333,-0.12685977672894222,0.666,0.7904379310344825,2.37
22,Fireman,ApeGang #4441,-0.09332711952813078,0.69,0.8239705882352939,2.36
23,Blue Hoodie,ApeGang #9351,-0.050332965519522155,0.75,0.8669647422439025,2.33
24,Cop,ApeGang #9534,-0.05926881887453539,0.544,0.8580288888888893,2.45
25,Nurse,ApeGang #1616,-0.13292430770682095,0.48,0.7843734000566037,2.35
26,Prison Jumpsuit,ApeGang #8865,-0.17616734803128176,0.8,0.7411303597321429,2.3800000000000003
27,Lumberjack,ApeGang #6082,-0.15296612881605642,0.75,0.7643315789473683,2.27
28,Orange Striped T-Shirt,ApeGang #9978,-0.072675121556528,0.46,0.8446225862068967,2.41
29,Sheriff,ApeGang #6494,-0.13387918924490616,0.54,0.7834185185185185,2.45
30,Lab Coat,ApeGang #9506,-0.18150861685433328,0.544,0.7357890909090914,2.42
31,Iron Man,ApeGang #710,0.8280935965844013,1.35,1.745391304347826,1.22
32,Groom,ApeGang #9112,-0.06454983039607776,0.6,0.8527478773673469,2.58
33,Angel Wings,ApeGang #2925,1.5381622922365752,3.0,2.45546,0.61
34,Devil Wings,ApeGang #8445,1.6612022922365752,4.2,2.5785,0.44999999999999996
35,Space Suit,ApeGang #1048,1.489975019509302,2.4,2.407272727272727,0.45999999999999996
